Time,Tr_K,Pression_ideal_bar
0.0,348.15,10.0
100.0,347.71517305216685,13.250465045325106
200.0,348.06624872847544,13.296856433878787
300.0,348.4149382303702,13.343255252582859
400.0,348.76117265368356,13.389648271320956
500.0,349.1045570920384,13.435973304310012
600.0,349.4452783333115,13.482259764978275
700.0,349.78303884727137,13.528454058215827
800.0,350.1176910514914,13.574529599509457
900.0,350.4492575838988,13.620485040415144
1000.0,350.77775084635005,13.666315367424906
1100.0,351.102905409452,13.711980220411297
1200.0,351.4246060294687,13.757458346367773
1300.0,351.74273746266425,13.80272849228779
1400.0,352.05718446530284,13.847769405164794
1500.0,352.36783179364846,13.89255983199224
1600.0,352.67456420396525,13.937078519763581
1700.0,352.9772664525173,13.981304215472269
1800.0,353.2759391924116,14.025219096576606
1900.0,353.5711041610525,14.068820764262748
2000.0,353.8621536286851,14.112073388285172
2100.0,354.1489974697338,14.154956459117159
2200.0,354.4315455586228,14.197449467232003
2300.0,354.70970776977646,14.23953190310299
2400.0,354.983393977619,14.281183257203406
2500.0,355.25251405657474,14.322383020006535
2600.0,355.516977881068,14.363110681985669
2700.0,355.776695325523,14.403345733614092
2800.0,356.03277826880185,14.443170700152896
2900.0,356.28437823581925,14.482500067006876
3000.0,356.5313913148436,14.521312142911887
3100.0,356.7737659020269,14.559589720390619
3200.0,357.01145039352116,14.597315591965762
3300.0,357.2443931854783,14.634472550160007
3400.0,357.47254267405026,14.671043387496047
3500.0,357.695847255389,14.70701089649657
3600.0,357.9142553256466,14.742357869684266
3700.0,358.1284740147182,14.777208943199925
3800.0,358.338307511873,14.811519950404083
3900.0,358.5435576243588,14.845246279343613
4000.0,358.7442454031807,14.878384305207469
4100.0,358.94039642461814,14.910931249174824
4200.0,359.13204079022535,14.942885178415075
4300.0,359.3192131268312,14.974245006087827
4400.0,359.50195258653906,15.00501049134291
4500.0,359.68030284672693,15.035182239320369
4600.0,359.854112314109,15.064675468161989
4700.0,360.0233839388911,15.093470990659247
4800.0,360.18831460600364,15.121632215718655
4900.0,360.3489540343228,15.14915792745357
5000.0,360.50535593668315,15.176047526648627
5100.0,360.6575780198774,15.202301030759726
5200.0,360.8056819846567,15.227919073914027
5300.0,360.94973352573044,15.252902906909972
5400.0,361.0898023317662,15.277254397217256
5500.0,361.22596208538994,15.300976028976857
5600.0,361.35829046318594,15.324070903001006
5700.0,361.48686913569674,15.346542736773209
5800.0,361.6117837674231,15.36839586444824
5900.0,361.73312401682415,15.389635236852138
6000.0,361.85089404859093,15.410264190221838
6100.0,361.96498387148034,15.430678204170116
6200.0,362.07547578101736,15.451227455037138
6300.0,362.17938566121217,15.470679285132645
6400.0,362.2819972007296,15.489912678209699
6500.0,362.38083416646185,15.508517075962347
6600.0,362.47596412094856,15.526503737018462
6700.0,362.56879835243535,15.544112506164852
6800.0,362.6588068429544,15.561252431930402
6900.0,362.7458890071684,15.57790625379765
7000.0,362.83004484507745,15.5940739717666
7100.0,362.91127435668153,15.609755585837247
7200.0,362.9895775419806,15.624951096009598
7300.0,363.06545132443415,15.639691193185959
7400.0,363.13857075245687,15.653955807761706
7500.0,363.2089151491152,15.667743662691587
7600.0,363.2764845144093,15.681054757975598
7700.0,363.3412788483391,15.693889093613747
7800.0,363.40330673994566,15.706247815810556
7900.0,363.46314178262253,15.718207470403524
8000.0,363.5204757481577,15.729726924445705
8100.0,363.5753480341118,15.740811435527757
8200.0,363.6277980380452,15.75146626124033
8300.0,363.6778651575185,15.761696659174072
8400.0,363.72560507101673,15.77151017059539
8500.0,363.7712425074355,15.780938048957372
8600.0,363.81465899857193,15.789963408500412
8700.0,363.8558967891911,15.798591906183876
8800.0,363.89499812405796,15.806829198967128
8900.0,363.9320052479375,15.814680943809531
9000.0,363.9669604055948,15.82215279767045
9100.0,363.99990584179477,15.829250417509249
9200.0,364.0308838013025,15.835979460285293
9300.0,364.0599365288829,15.842345582957943
9400.0,364.08710626930093,15.848354442486565
9500.0,364.1124352673217,15.854011695830524
9600.0,364.1359657677102,15.859322999949184
9700.0,364.15774001523135,15.864294011801908
9800.0,364.17780025465026,15.86893038834806
9900.0,364.19617214437613,15.873291869663348
10000.0,364.2129065976426,15.877355847438682
10100.0,364.2280492714165,15.881116852469628
10200.0,364.2416421303175,15.884581455185614
10300.0,364.253727138965,15.887756226016073
10400.0,364.2643462619786,15.89064773539044
10500.0,364.2735414639778,15.893262553738147
10600.0,364.28135470958216,15.895607251488624
10700.0,364.2878279634113,15.89768839907131
10800.0,364.2930031900846,15.899512566915632
10900.0,364.29692235422175,15.901086325451026
11000.0,364.29962742044216,15.902416245106927
11100.0,364.3011603533655,15.903508896312765
11200.0,364.3015631176112,15.904370849497973
11300.0,364.3006166064504,15.904995344277868
11400.0,364.2983040395132,15.905385951447728
11500.0,364.29487677124877,15.905559933291578
11600.0,364.29036977815775,15.905523503411825
11700.0,364.284818036741,15.905282875410878
11800.0,364.27825652349935,15.90484426289115
11900.0,364.2707202149335,15.904213879455044
12000.0,364.2622440875442,15.903397938704977
12100.0,364.2528631178324,15.902402654243353
12200.0,364.24261228229875,15.901234239672588
12300.0,364.23152655744406,15.899898908595086
12400.0,364.2196409197691,15.898402874613259
12500.0,364.2069903457747,15.896752351329518
12600.0,364.1936098119616,15.89495355234627
12700.0,364.1794158870793,15.89299560857545
12800.0,364.16410495266695,15.890835884512425
12900.0,364.148027742185,15.888526148027301
13000.0,364.1312039707623,15.886070410963836
13100.0,364.1136526946128,15.883472590104097
13200.0,364.09539231103565,15.880736507168464
