Time,Tr_K,Pression_ideal_bar
0.0,378.15,10.0
100.0,378.00348114361077,17.97810727960912
200.0,379.5811298380028,18.45461922570854
300.0,381.11172457490267,18.950258989714385
400.0,382.59212247853804,19.465480190221324
500.0,384.0196487908848,20.001108210569498
600.0,385.3925624198073,20.55812929848177
700.0,386.7102367549443,21.137525354726357
800.0,387.9721305767466,21.740254136603706
900.0,389.1798711670954,22.366983566665027
1000.0,390.3343231540862,23.018268251794375
1100.0,391.43842256132086,23.694014109989595
1200.0,392.49426062749427,24.393788869324407
1300.0,393.50518026158596,25.11692161444935
1400.0,394.47422920186926,25.863925489183334
1500.0,395.4046181990309,26.635687079061185
1600.0,396.2999320419849,27.432372411337976
1700.0,397.16293000366755,28.254687720767176
1800.0,397.99716473254455,29.103347204405992
1900.0,398.80526470974064,29.97855764310726
2000.0,399.5903348974838,30.881051729914724
2100.0,400.3551031779208,31.811407190068188
2200.0,401.10228395834554,32.77024098826775
2300.0,401.8346431063028,33.75855997113762
2400.0,402.55479049655764,34.7772731064291
2500.0,403.2651814042373,35.82718753499663
2600.0,403.9683586382824,36.909670484222524
2700.0,404.6671614698004,38.027342357728465
2800.0,405.3638796610673,39.18141880254602
2900.0,406.0609318703431,40.3738421704012
3000.0,406.7615555625769,41.608232583746805
3100.0,407.4682733125501,42.88722390014728
3200.0,408.1837087412242,44.213880995935966
3300.0,408.91122110813563,45.59260776560494
3400.0,409.6547412177949,47.02889099218533
3500.0,410.4172510267027,48.52711239551035
3600.0,411.2023786645015,50.09285423021331
3700.0,412.01645194162205,51.73610022923229
3800.0,412.86388090288347,53.46413160439773
3900.0,413.75042534719194,55.28655416662156
4000.0,414.68432586344665,57.21613310548844
4100.0,415.6750275116629,59.267483654197754
4200.0,416.73215908450953,61.45602958936865
4300.0,417.86893325755057,63.80324183461524
4400.0,419.1040930852421,66.34119388478682
4500.0,420.4568672320288,69.10175763109083
4600.0,421.95798263203034,72.13568800697195
4700.0,423.6429371218244,75.50208397841287
4800.0,425.55417280891703,79.27195786884671
4900.0,427.7457193443234,83.53630763209078
5000.0,430.280302474808,88.40036008188116
5100.0,433.2162991264466,93.97530715265626
5200.0,436.48080266594616,100.18402642787363
5300.0,439.7230094688837,106.50943666690422
5400.0,442.3167022389683,111.92320194476504
5500.0,443.8887897744124,115.65540148003409
5600.0,444.6602418487374,117.89586752823514
5700.0,444.9884997410428,119.19445798978043
5800.0,445.09289538406034,119.95253143405927
5900.0,445.0781731671452,120.39419778000756
6000.0,444.99303556307933,120.63886010955873
6100.0,444.8627823072841,120.75433378088383
6200.0,444.70195818890664,120.78149604574838
