Time,Tr_K,Pression_ideal_bar,dTdt,d2Tdt2,dPdt,d2Pdt2,kappa_TP,v_TP,RCI,anomaly_score,anomaly_flag
0.0,378.15,10.0,-0.001465188563891502,8.620837753905732e-05,0.0797810727960912,-0.00037507976667548493,0.012455559811824987,0.07979452583995322,8.568125548835056e-08,,0
100.0,378.0034811436108,17.97810727960912,0.00715564919001423,8.503202860175349e-05,0.04227309612854271,-0.0003746015712278244,0.07962034675428506,0.042874444271891896,2.902719755221653e-07,,0
200.0,379.5811298380028,18.45461922570854,0.015541217156459198,3.94965700633108e-05,0.004860758550526327,-0.00018609395652989397,0.7142932733339322,0.016283623810157754,4.593957820831463e-07,,0
300.0,381.11172457490267,18.950258989714385,0.01505496320267639,-5.007980382742971e-06,0.005054304822563918,1.9674377687461033e-06,0.013715435720669057,0.015880740356587066,0.0,,0
400.0,382.5921224785381,19.465480190221324,0.014539621079910603,-5.26381748165221e-06,0.005254246104275548,2.044703593691551e-06,0.015530757698689899,0.015459873326508066,0.0,,0
500.0,384.0196487908848,20.001108210569495,0.014002199706345949,-5.433406298065791e-06,0.005463245541302228,2.1391980825439042e-06,0.01756386536463091,0.01503025776428845,0.0,,0
600.0,385.3925624198073,20.55812929848177,0.013452939820297445,-5.5217946082464656e-06,0.005682085720784329,2.2368932465371756e-06,0.019736132960383377,0.01460368747771897,0.0,,0
700.0,386.7102367549443,21.13752535472636,0.012897840784696656,-5.523838797708439e-06,0.005910624190609663,2.326026694545024e-06,0.021937581504292793,0.01418766278250243,0.0,0.8242547419322974,0
800.0,387.9721305767466,21.740254136603703,0.012348172060755757,-5.434389489994375e-06,0.006147291059693334,2.397231926718393e-06,0.02400785267906868,0.013793713807913178,0.0,0.8180132227689507,0
900.0,389.1798711670954,22.366983566665027,0.01181096288669778,-5.277075448142905e-06,0.006390070575953342,2.439308284647537e-06,0.025821993933047658,0.013428769350786282,0.0,0.7926767730756021,1
1000.0,390.3343231540862,23.01826825179437,0.011292756971127176,-5.056377598285167e-06,0.006635152716622841,2.4376625584841872e-06,0.02718258559560069,0.013097771244828216,0.0,0.7419884290092482,1
1100.0,391.43842256132086,23.694014109989595,0.010799687367040747,-4.794842349006958e-06,0.006877603087650179,2.3969240283796535e-06,0.02804376714520902,0.012803697569728628,0.0,0.7419455989778574,1
1200.0,392.4942606274943,24.393788869324407,0.010333788501325785,-4.499222475830324e-06,0.007114537522298772,2.3654000582221893e-06,0.02858690794330639,0.012546068266446272,0.0,0.7418452077225862,1
1300.0,393.505180261586,25.11692161444935,0.009899842871874683,-4.1829940705071045e-06,0.007350683099294617,2.3964490038020246e-06,0.029056371976720737,0.01233042703697092,0.0,0.7388745660796177,1
1400.0,394.47422920186926,25.86392548918333,0.009497189687224364,-3.856643356482436e-06,0.007593827323059177,2.4577575573930594e-06,0.02927062734215381,0.012159885910959895,0.0,0.7377147328189959,1
1500.0,395.4046181990309,26.635687079061185,0.009128514200578195,-3.5281533202038453e-06,0.007842234610773229,2.5058794273538934e-06,0.028998526619285436,0.012034550893181154,0.0,0.7347303845150709,1
1600.0,396.2999320419849,27.432372411337976,0.008791559023183595,-3.2117537388998573e-06,0.008095003208529955,2.5631967728342517e-06,0.028435214034139907,0.011950756754458319,0.0,0.7339148445297947,1
1700.0,397.1629300036676,28.254687720767176,0.008486163452798224,-2.89942746409224e-06,0.00835487396534008,2.621732015852278e-06,0.027516769118214622,0.011908773619660664,0.0,0.7303506192740041,1
1800.0,397.99716473254455,29.103347204405992,0.008211673530365147,-2.601563140510171e-06,0.008619349611700411,2.668243311017898e-06,0.026276841635001026,0.011904821287949669,0.0,0.729803752306499,1
1900.0,398.80526470974064,29.97855764310726,0.00796585082469619,-2.312405947321851e-06,0.008888522627543659,2.724490615521177e-06,0.024851562871201143,0.011935686568508264,0.0,0.7262894651301796,1
2000.0,399.5903348974838,30.881051729914724,0.007749192340900777,-2.0305276019357172e-06,0.009164247734804646,2.787118321107406e-06,0.023259351037746175,0.01200139235593718,0.0,0.7271830279357967,1
2100.0,400.3551031779208,31.811407190068188,0.007559745304309046,-1.7574634949539796e-06,0.00944594629176514,2.8575808527126194e-06,0.021572452821376344,0.012098580512313594,0.0,0.7338512859864575,1
2200.0,401.1022839583456,32.77024098826775,0.007397699641909981,-1.4860630662454338e-06,0.00973576390534717,2.946071495207999e-06,0.019835487205857413,0.012227471480750868,0.0,0.7292098038354777,1
2300.0,401.8346431063028,33.75855997113762,0.00726253269105996,-1.2250407611873009e-06,0.01003516059080674,3.036869569739411e-06,0.018070349189757605,0.012387446434677136,0.0,0.7295202032536718,1
2400.0,402.5547904965576,34.7772731064291,0.0071526914896725205,-9.734599121799178e-07,0.010343137819295052,3.134131490802085e-06,0.01633535857761709,0.012575432219027913,0.0,0.7292036488373357,1
2500.0,403.2651814042373,35.82718753499663,0.007067840708623976,-7.139558092845305e-07,0.010661986888967157,3.288181471820728e-06,0.014739640195803544,0.012791885580436913,0.0,0.7265061781670122,1
2600.0,403.9683586382824,36.90967048422253,0.007009900327815614,-4.5117797349689647e-07,0.011000774113659198,3.4837735132514387e-06,0.013238658272507232,0.013044375558288093,0.0,0.725568330627992,1
2700.0,404.6671614698004,38.02734235772847,0.006977605113924597,-2.0524162551111955e-07,0.011358741591617445,3.6586247485221378e-06,0.011760241450496083,0.013330715797398378,0.0,0.7232846624136209,1
