Time,Tr_C,Pression_ideal_bar
0.0,73.9795918367347,9.42902599040431
1.000020000400008,73.23990336542766,12.450211937740159
2.000040000800016,73.22433689845462,12.532646393022604
3.0000600012000236,73.22810341297492,12.536765310465062
4.000080001600032,73.23286021570141,12.536865693392532
5.00010000200004,73.23750532885805,12.537417468908771
6.000120002400047,73.24214068162104,12.538008740166509
7.000140002800055,73.24677603438403,12.538600022758525
8.000160003200063,73.25141138714707,12.539191316684818
9.000180003600072,73.25604673991006,12.539782621945383
10.00020000400008,73.26068209267305,12.540373938540226
11.000220004400088,73.26531756772107,12.540963878577028
12.000240004800094,73.26995307683882,12.541553443226297
13.000260005200102,73.27458858595656,12.542143019162582
14.00028000560011,73.27922409507431,12.54273260638588
15.000300006000119,73.28385960419206,12.54332220489619
16.000320006400127,73.2884951133098,12.543911814693516
17.000340006800133,73.29312939106023,12.544500236162213
18.000360007200143,73.2977631013569,12.545088116054698
19.00038000760015,73.30239681165364,12.54567600718468
20.00040000800016,73.30703052195031,12.54626390955216
21.000420008400166,73.31166423224704,12.546851823157143
22.000440008800176,73.31629794254377,12.547439747999622
23.000460009200182,73.32093165284044,12.548027684079594
24.00048000960019,73.32556536313717,12.548615631397073
25.0005000100002,73.33019907343385,12.549203589952045
26.000520010400205,73.33483278373058,12.549791559744522
27.000540010800215,73.33946649402725,12.550379540774491
28.00056001120022,73.34410020432398,12.55096753304196
29.00058001160023,73.34873391462071,12.55155553654693
30.000600012000238,73.35336762491738,12.552143551289397
31.000620012400248,73.35800133521411,12.552731577269364
32.000640012800254,73.36263504551079,12.553319614486828
33.00066001320026,73.36726875580752,12.553907662941787
34.00068001360027,73.37190246610419,12.55449572263425
35.00070001400028,73.37653617640092,12.555083793564213
36.00072001440029,73.38116988669765,12.55567187573167
37.00074001480029,73.38580359699432,12.556259969136626
38.0007600152003,73.39043730729105,12.556848073779081
39.00078001560031,73.39507101758772,12.557436189659036
40.00080001600032,73.39970472788445,12.558024316776491
41.000820016400326,73.40433843818118,12.558612455131442
42.00084001680033,73.40897214847786,12.559200604723888
43.00086001720034,73.41360585877459,12.559788765553838
44.00088001760035,73.41823956907126,12.560376937621285
45.00090001800036,73.42287327936799,12.560965120926232
46.000920018400365,73.42750698966466,12.561553315468675
47.00094001880037,73.4321406999614,12.562141521248618
48.00096001920038,73.43677441025812,12.562729738266059
49.00098001960039,73.4414081205548,12.563317966520998
50.0010000200004,73.44604183085153,12.563906206013437
51.001020020400404,73.4506755411482,12.564494456743374
52.00104002080041,73.45530925144493,12.565082718710807
53.00106002120042,73.4599429617416,12.565670991915741
54.00108002160043,73.46457667203833,12.566259276358172
55.001100022000436,73.46921038233506,12.566847572038107
56.00112002240044,73.47384409263174,12.567435878955536
57.00114002280045,73.47847780292847,12.568024197110464
58.00116002320046,73.48311151322514,12.568612526502891
59.00118002360047,73.48774522352187,12.569200867132814
60.001200024000475,73.49237893381854,12.56978921900024
61.00122002440048,73.49701264411527,12.570377582105161
62.001240024800495,73.501646354412,12.570965956447584
63.0012600252005,73.50628006470868,12.571554342027502
64.00128002560051,73.5109137750054,12.57214273884492
65.00130002600052,73.51554748530208,12.572731146899837
66.00132002640052,73.52018119559881,12.573319566192252
67.00134002680053,73.52481490589548,12.573907996722165
68.00136002720053,73.52944861619221,12.574496438489577
69.00138002760055,73.53408232648894,12.57508489149449
70.00140002800056,73.53871603678562,12.575673355736898
71.00142002840056,73.54334974708235,12.576261831216804
72.00144002880057,73.54798245818472,12.5768509171702
73.00146002920057,73.55261435889071,12.577440500391836
74.00148002960059,73.55724619638198,12.578030132789292
75.0015000300006,73.5618779706586,12.578619814363956
76.0015200304006,73.56650968172062,12.579209545117209
77.00154003080061,73.57114132956792,12.579799325050425
78.00156003120063,73.57577291420063,12.580389154164989
79.00158003160062,73.58040443561862,12.58097903246228
80.00160003200064,73.58503589382195,12.581568959943676
81.00162003240064,73.58966728881069,12.582158936610565
82.00164003280065,73.59429862058471,12.58274896246432
83.00166003320066,73.59892988914413,12.58333903750633
84.00168003360066,73.60356109448884,12.583929161737965
85.00170003400068,73.60819223661889,12.584519335160609
86.00172003440068,73.61282331553434,12.585109557775645
87.00174003480069,73.61745433123508,12.585699829584449
88.0017600352007,73.62208528372116,12.586290150588406
89.0017800356007,73.62671617299264,12.586880520788894
90.00180003600072,73.63134699904941,12.587470940187295
91.00182003640072,73.63597776189152,12.58806140878498
92.00184003680073,73.64060846151904,12.588651926583346
93.00186003720074,73.64523909793184,12.589242493583757
94.00188003760074,73.64986967112998,12.5898331097876
95.00190003800076,73.65450018111352,12.590423775196255
96.00192003840075,73.65913062788235,12.591014489811098
97.00194003880077,73.66376101143652,12.591605253633512
98.00196003920078,73.66839133177609,12.592196066664881
99.00198003960078,73.67302158890095,12.592786928906573
100.0020000400008,73.67765178281115,12.59337784035998
101.00202004040081,73.68228191350676,12.593968801026472
102.00204004080081,73.68691198098765,12.594559810907436
103.00206004120082,73.69154198525388,12.595150870004245
104.00208004160082,73.69617192630551,12.595741978318285
105.00210004200083,73.70080180414243,12.59633313585093
106.00212004240085,73.70543161876469,12.59692434260356
107.00214004280085,73.71006137017235,12.597515598577559
108.00216004320086,73.7146910583653,12.598106903774303
109.00218004360086,73.7193206833436,12.59869825819517
110.00220004400087,73.72395024510723,12.599289661841542
111.00222004440089,73.72857974365627,12.599881114714798
112.00224004480089,73.73320917899059,12.600472616816312
113.0022600452009,73.73783855111026,12.601064168147472
114.0022800456009,73.74246786001527,12.601655768709648
115.00230004600091,73.74709710570568,12.602247418504227
116.00232004640092,73.75172628818137,12.602839117532582
117.00234004680092,73.75635540744241,12.603430865796092
118.00236004720094,73.7609844634888,12.60402266329614
119.00238004760095,73.76561345632058,12.604614510034104
120.00240004800095,73.77024238593765,12.60520640601136
121.00242004840096,73.77487125234006,12.60579835122929
122.00244004880096,73.77950005552782,12.606390345689265
123.00246004920098,73.78412879550092,12.606982389392677
