Time,Tr_C,Pression_ideal_bar
0.0,95.0,12.137931034482756
1.000020000400008,93.67898063469664,17.7429794109388
2.000040000800016,93.65542712206388,17.890752381780988
3.0000600012000236,93.66542472909606,17.897797353003668
4.000080001600032,93.67668311224435,17.899511664940192
5.00010000200004,93.68781580080787,17.90173951850957
6.000120002400047,93.69894848937145,17.90396747432816
7.000140002800055,93.71008117793497,17.906195532395948
8.000160003200063,93.7212116792129,17.908423837472498
9.000180003600072,93.73228987018479,17.910655706750276
10.00020000400008,93.74336806115667,17.912887678155204
11.000220004400088,93.75444625212856,17.915119751687282
12.000240004800094,93.76552444310045,17.917351927346505
13.000260005200102,93.77658184571055,17.919578988580955
14.00028000560011,93.78762511574377,17.92180260497217
15.000300006000119,93.79866838577698,17.924026322743792
16.000320006400127,93.80971165581019,17.92625014189582
17.000340006800133,93.82075492584346,17.928474062428254
18.000360007200143,93.83179819587667,17.930698084341095
19.00038000760015,93.84284146590988,17.93292220763434
20.00040000800016,93.8538847359431,17.935146432307988
21.000420008400166,93.86492800597631,17.937370758362043
22.000440008800176,93.87597127600952,17.93959518579651
23.000460009200182,93.88701454604279,17.94181971461138
24.00048000960019,93.898057816076,17.944044344806656
25.0005000100002,93.90910108610922,17.946269076382336
26.000520010400205,93.92014435614243,17.94849390933842
27.000540010800215,93.93118762617564,17.950718843674917
28.00056001120022,93.94223089620891,17.952943879391817
29.00058001160023,93.95327416624212,17.955169016489123
30.000600012000238,93.96431743627534,17.95739425496683
31.000620012400248,93.97536070630855,17.95961959482495
32.000640012800254,93.98640397634176,17.961845036063472
33.00066001320026,93.99744724637497,17.964070578682403
34.00068001360027,94.00849051640824,17.966296222681738
35.00070001400028,94.01953378644146,17.96852196806148
36.00072001440029,94.03057705647467,17.970747814821628
37.00074001480029,94.04162032650788,17.972973762962177
38.0007600152003,94.0526635965411,17.975199812483137
39.00078001560031,94.06370686657431,17.9774259633845
40.00080001600032,94.07475013660758,17.979652215666277
41.000820016400326,94.08579340664079,17.98187856932845
42.00084001680033,94.096836676674,17.98410502437104
43.00086001720034,94.10787994670721,17.986331580794026
44.00088001760035,94.1189066043541,17.98856020027562
45.00090001800036,94.1299293906626,17.990789378301393
46.000920018400365,94.1409509523811,17.993018802331992
47.00094001880037,94.15197128950962,17.99524847236894
48.00096001920038,94.16299040204808,17.99747838841374
49.00098001960039,94.1740082899966,17.999708550467915
50.0010000200004,94.18502495335508,18.001938958532968
51.001020020400404,94.19604039212356,18.0041696126104
52.00104002080041,94.207054606302,18.00640051270171
53.00106002120042,94.21806759589049,18.008631658808397
54.00108002160043,94.22907936088893,18.01086305093195
55.001100022000436,94.24008990129738,18.01309468907385
56.00112002240044,94.25109921711584,18.01532657323558
57.00114002280045,94.26210730834424,18.01755870341863
58.00116002320046,94.27311417498271,18.019791079624454
59.00118002360047,94.28411981703113,18.02202370185454
60.001200024000475,94.29512423448955,18.024256570110346
61.00122002440048,94.30612742735792,18.026489684393333
62.001240024800495,94.31712939563636,18.028723044704968
63.0012600252005,94.32813013932474,18.030956651046694
64.00128002560051,94.33912965842313,18.03319050341996
65.00130002600052,94.35012795293153,18.035424601826215
66.00132002640052,94.36112502284988,18.0376589462669
67.00134002680053,94.37212086817823,18.039893536743456
68.00136002720053,94.38311548891659,18.04212837325731
69.00138002760055,94.39410888506495,18.0443634558099
70.00140002800056,94.40510105662332,18.04659878440264
71.00142002840056,94.41609200359164,18.04883435903696
72.00144002880057,94.42708172596997,18.051070179714266
73.00146002920057,94.4380702237583,18.053306246435984
74.00148002960059,94.44905744498914,18.055542558378892
75.0015000300006,94.46004306264132,18.05777911035341
76.0015200304006,94.47102744598817,18.060015908219196
77.00154003080061,94.48201059502964,18.06225295197753
78.00156003120063,94.49299250976577,18.064490241629702
79.00158003160062,94.50397319019652,18.066727777176993
80.00160003200064,94.51495263632188,18.06896555862068
81.00162003240064,94.52593084814191,18.07120358596203
82.00164003280065,94.53690782565656,18.073441859202326
83.00166003320066,94.54788356886587,18.075680378342824
84.00168003360066,94.5588580777698,18.077919143384783
85.00170003400068,94.56983135236834,18.08015815432946
86.00172003440068,94.58080339266155,18.082397411178118
87.00174003480069,94.59177419864938,18.084636913931995
88.0017600352007,94.60274377033187,18.086876662592342
89.0017800356007,94.61371210770898,18.089116657160393
90.00180003600072,94.6246792107807,18.091356897637382
91.00182003640072,94.63564507954709,18.093597384024555
92.00184003680073,94.6466097140081,18.095838116323126
93.00186003720074,94.65757311416377,18.098079094534327
94.00188003760074,94.668535280014,18.100320318659367
95.00190003800076,94.67949621155896,18.102561788699475
96.00192003840075,94.69045590879853,18.10480350465586
97.00194003880077,94.70141437173271,18.10704546652972
98.00196003920078,94.71237160036151,18.10928767432226
99.00198003960078,94.72332759468497,18.111530128034687
100.0020000400008,94.73428235470311,18.11377282766819
101.00202004040081,94.7452358804158,18.116015773223957
102.00204004080081,94.75618817182323,18.118258964703188
103.00206004120082,94.7671392289252,18.120502402107046
