Time,Tr_C,Pression_ideal_bar
0.0,95.0,10.0
100.0,94.77170965719398,15.984816287880674
200.0,95.89431232392974,16.210982122472412
300.0,96.99672567002563,16.450538984810937
400.0,98.07563122482821,16.70030312952697
500.0,99.12888232320336,16.953218923520115
600.0,100.15470989434635,17.208962529406154
700.0,101.15121612336361,17.46716172417497
800.0,102.1171311111064,17.727532608842665
900.0,103.05062387445139,17.98971585852942
1000.0,103.95167976703146,18.25348187157467
1100.0,104.81871659642809,18.518482960153158
1200.0,105.65137122833113,18.78447773757371
1300.0,106.45027067934694,19.051320901081517
1400.0,107.21436498298726,19.318695487513292
1500.0,107.94499119931953,19.586505815742736
1600.0,108.64256447940306,19.85457222872704
1700.0,109.30755480511021,20.122708006979675
1800.0,109.94040327208194,20.390712070909796
1900.0,110.54261102864564,20.65850778349823
2000.0,111.115563443783,20.92599839123056
2100.0,111.6605051162,21.193085654717727
2200.0,112.17709505016262,21.459572231416825
2300.0,112.66770035597648,21.72544870018549
2400.0,113.13388405328595,21.99066124698672
2500.0,113.57734520546308,22.255174330004316
2600.0,113.99711788148176,22.5187021853841
2700.0,114.39556805255359,22.781280020032437
2800.0,114.77403735113802,23.042850942478445
2900.0,115.13386439167931,23.303362744290638
3000.0,115.47519324269973,23.562696769393664
3100.0,115.79905710986105,23.82079242076413
3200.0,116.10666830723932,24.077605838605447
3300.0,116.39895966555787,24.33308172074915
3400.0,116.6766141057596,24.587180891343454
3500.0,116.94026508446967,24.839868342292743
3600.0,117.1907492980925,25.091098974397454
3700.0,117.42873840369356,25.340838536051162
3800.0,117.654920152371,25.589072885698265
3900.0,117.8700315103215,25.835816670681698
4000.0,118.07455747442737,26.081035258226578
4100.0,118.2690298472545,26.32472173838886
4200.0,118.45393868314068,26.566873981572616
4300.0,118.62977087678149,26.80748943402431
4400.0,118.79728147220942,27.046529462894085
4500.0,118.95672538737159,27.284020527118034
4600.0,119.10850183824039,27.519968927021917
4700.0,119.25297636822535,27.75438425542282
4800.0,119.39048084817318,27.987279299086424
4900.0,119.52161507068462,28.218626146059762
5000.0,119.64657907610388,28.448453455040724
5100.0,119.76564996992715,28.676776687388635
5200.0,119.87909430501651,28.90361087648468
5300.0,119.98715174294824,29.128972928768913
5400.0,120.09023246765452,29.352847432403784
5500.0,120.18856268089257,29.575248143249386
5600.0,120.28230380492226,29.79619704411573
5700.0,120.37164837194962,30.015707746172797
5800.0,120.45676804850712,30.23379443391508
5900.0,120.53791389503698,30.450460963544877
6000.0,120.61532788453388,30.665710574741553
6100.0,120.68912123428629,30.87955889475971
6200.0,120.75945662758602,31.092014174525094
6300.0,120.82648951961369,31.30308363924078
6400.0,120.89034822021893,31.51278008797306
6500.0,120.95112812843928,31.721123900883786
6600.0,121.00898897336475,31.928112042244464
6700.0,121.06405409249453,32.13375063926976
6800.0,121.11644287700216,32.3380447594717
6900.0,121.16627170405627,32.54099832642526
7000.0,121.21365486914095,32.74261403851307
7100.0,121.2586623068508,32.94290541205736
7200.0,121.30132072858419,33.141896549848354
7300.0,121.34177847307842,33.33957613899685
7400.0,121.38012491745218,33.53594832805675
7500.0,121.41644827387603,33.73101667448141
7600.0,121.45083629214747,33.92478413602227
7700.0,121.48337696226565,34.11725306422421
7800.0,121.51409467401533,34.3084286891751
7900.0,121.54296932160764,34.498317980939845
8000.0,121.57013834825159,34.6869188459849
8100.0,121.59566209382285,34.87423288507195
8200.0,121.6195995133478,35.06026129523877
8300.0,121.64200856493318,35.24500488048538
8400.0,121.66294659769585,35.42846406360672
8500.0,121.68242937958973,35.61063978681778
8600.0,121.70045325310025,35.791532975568124
8700.0,121.71710056588637,35.97114235062772
8800.0,121.73240896543206,36.14946727343136
8900.0,121.7464143882741,36.32650682351283
9000.0,121.75915126199737,36.502259814184114
9100.0,121.77065270723017,36.67672480883022
9200.0,121.78093985633922,36.84990102735991
9300.0,121.79003006555985,37.02178768906889
9400.0,121.79795927036622,37.1923822330811
9500.0,121.80475220617626,37.361682790374864
9600.0,121.8104325683911,37.52968738328381
9700.0,121.81502316904886,37.69639394739821
9800.0,121.81854609347897,37.86180035390692
9900.0,121.8210185353899,38.02590452851568
10000.0,121.82245692948243,38.18870437892739
10100.0,121.82288399255953,38.35019767033531
10200.0,121.82231854842922,38.510382280016834
10300.0,121.82077920235963,38.66925614149104
10400.0,121.81828448097588,38.82681726912539
10500.0,121.81485297215698,38.98306378308099
10600.0,121.81048475998767,39.13799166682412
10700.0,121.80518492583388,39.29159759763809
10800.0,121.79898278747396,39.44388131252441
10900.0,121.79189334430583,39.59484094422507
11000.0,121.78393172304709,39.744474775451984
11100.0,121.77511328485616,39.89278126059804
11200.0,121.76545373245284,40.03975904767666
11300.0,121.75496921723919,40.18540700048191
11400.0,121.7436713380987,40.32972352679633
11500.0,121.73151743827947,40.47269980485381
11600.0,121.71855666082297,40.61433964580089
11700.0,121.70479995434488,40.75464186116979
11800.0,121.69025824765208,40.89360544345636
11900.0,121.67494250377928,41.03122958063785
12000.0,121.65886377402535,41.16751367079717
12100.0,121.64203325198986,41.30245733685013
12200.0,121.62446232760936,41.436060441371694
12300.0,121.60613576420769,41.56831823384522
12400.0,121.58706310533375,41.69923063848938
12500.0,121.56726159093404,41.82879919541932
12600.0,121.54673850321291,41.957023863253774
12700.0,121.52550094083557,42.08390479063016
12800.0,121.50355583963551,42.20944232459481
12900.0,121.48090999332248,42.33363701903436
13000.0,121.45757007419024,42.45648964314691
13100.0,121.43354144049624,42.57800075460782
13200.0,121.40882707547678,42.698170317890096
13300.0,121.38343535316494,42.8170004930438
13400.0,121.3573720217405,42.93449276144239
13500.0,121.33064273214364,43.050648833425875
13600.0,121.30325305462611,43.16547065539233
13700.0,121.27520849530259,43.27896041691616
